Time (UTCG),Torque in X (Nm),Torque in Y (Nm),Torque in Z (Nm)
07 Aug 2023 06:55:04,9.07428108861376e-10,1.02744814139161e-08,7.02176496782035e-10
07 Aug 2023 07:00:04,2.56336694859104e-08,3.67082657662953e-08,-1.25708349110226e-09
07 Aug 2023 07:05:04,4.73646441467415e-08,6.20075829819149e-08,-2.80800395762207e-09
07 Aug 2023 07:10:04,5.14175525423828e-08,7.11640561882391e-08,-2.73025921389601e-09
07 Aug 2023 07:15:04,1.41420364333646e-08,3.76257621183123e-08,7.44983245731914e-10
07 Aug 2023 07:20:04,-4.57604573171719e-08,-2.39809771773164e-08,5.69126696233003e-09
07 Aug 2023 07:25:04,-7.07034709420019e-08,-5.43046155450927e-08,7.36240519808624e-09
07 Aug 2023 07:30:04,-5.72494120575125e-08,-4.53233688800424e-08,5.84655075327746e-09
07 Aug 2023 07:35:04,-3.17046248487707e-08,-2.20127020732285e-08,3.48906981321768e-09
07 Aug 2023 07:40:04,-5.97560220807598e-09,3.35008996907607e-09,1.27049951949563e-09
07 Aug 2023 07:45:04,1.89488452280822e-08,2.95383915898038e-08,-7.45258211047123e-10
07 Aug 2023 07:50:04,4.2323990294402e-08,5.59799641325951e-08,-2.48080376216674e-09
07 Aug 2023 07:55:04,2.52966741843464e-06,-2.96593914145777e-06,8.99515985831633e-08
07 Aug 2023 08:00:04,0,0,0
07 Aug 2023 08:05:04,-7.51784634745599e-08,9.03909397099746e-08,6.54270657287933e-10
07 Aug 2023 08:10:04,-4.43484279897587e-08,9.05032874421934e-08,-2.9872346448503e-09
07 Aug 2023 08:15:04,0,0,0
07 Aug 2023 08:20:04,-2.38422899795964e-06,2.39985599946857e-06,-3.36591657423016e-08
07 Aug 2023 08:25:04,-1.28441063145333e-08,-3.71248145433839e-09,1.85084730792089e-09
07 Aug 2023 08:30:04,1.21783533519785e-08,2.21087016882634e-08,-2.0868769298772e-10
07 Aug 2023 08:35:04,3.62992776010995e-08,4.8748568300556e-08,-2.04942696271188e-09
07 Aug 2023 08:40:04,5.28992054956196e-08,6.97539976554706e-08,-3.09523961206431e-09
07 Aug 2023 08:45:04,4.02585844654116e-08,6.21591698001062e-08,-1.60425779129276e-09
07 Aug 2023 08:50:04,-1.40017425450822e-08,9.45389483335326e-09,3.13297722475573e-09
07 Aug 2023 08:55:04,-6.31999829743275e-08,-4.37324894066199e-08,6.98038810070164e-09
07 Aug 2023 09:00:04,-6.75967959193228e-08,-5.34928972920617e-08,6.90728678443934e-09
07 Aug 2023 09:05:04,-4.60471197838252e-08,-3.53945721091964e-08,4.78833464882339e-09
07 Aug 2023 09:10:04,-1.98852444979043e-08,-1.05634481065385e-08,2.45323586273e-09
07 Aug 2023 09:15:04,5.36953638527826e-09,1.50651169478532e-08,3.36043049902416e-10
07 Aug 2023 09:20:04,2.99964449128495e-08,4.17367045718077e-08,-1.59010076853579e-09
07 Aug 2023 09:25:04,-6.25852061816877e-07,5.55072803629969e-07,4.9029357211906e-08
07 Aug 2023 09:30:04,0,0,0
07 Aug 2023 09:35:04,-8.89474150262602e-08,7.97670014529636e-08,3.03058706854957e-09
07 Aug 2023 09:40:04,-6.11137062183732e-08,9.34376272304921e-08,-1.18727474393755e-09
07 Aug 2023 09:45:04,0,0,0
07 Aug 2023 09:50:04,1.46440332137866e-07,-5.89180076104224e-08,-4.89079891660501e-08
07 Aug 2023 09:55:04,-2.6950065839478e-08,-1.75707991648274e-08,3.06946819674322e-09
07 Aug 2023 10:00:04,-1.43014332785536e-09,7.86609866265069e-09,8.94899417486167e-10
07 Aug 2023 10:05:04,2.3327750197963e-08,3.41701934146501e-08,-1.08038944563266e-09
07 Aug 2023 10:10:04,4.56601016757243e-08,5.9885950077616e-08,-2.69769427447032e-09
07 Aug 2023 10:15:04,5.24450843493429e-08,7.16934756247964e-08,-2.85873366343879e-09
07 Aug 2023 10:20:04,1.94215157914029e-08,4.27355914636758e-08,2.82521082478201e-10
07 Aug 2023 10:25:04,-4.09226062409329e-08,-1.87576737034927e-08,5.31235767343364e-09
07 Aug 2023 10:30:04,-7.03168016004251e-08,-5.34036251491019e-08,7.3723645200991e-09
07 Aug 2023 10:35:04,-5.93018955016404e-08,-4.70487439402749e-08,6.04821619055693e-09
07 Aug 2023 10:40:04,-3.41630710303007e-08,-2.43431791469984e-08,3.70872726142375e-09
07 Aug 2023 10:45:04,-8.33361375839806e-09,9.62068625973887e-10,1.46857308712892e-09
07 Aug 2023 10:50:04,1.66104628296281e-08,2.70135266749866e-08,-5.61742893485119e-10
07 Aug 2023 10:55:04,4.03248806153012e-08,5.36120653969142e-08,-2.34115259313737e-09
