Time (UTCG),Torque in X (Nm),Torque in Y (Nm),Torque in Z (Nm)
07 Aug 2023 13:40:04,-6.12776456704331e-08,-4.8672145234884e-08,6.24545785181133e-09
07 Aug 2023 13:45:04,-3.66673292088065e-08,-2.67020453159863e-08,3.93372245354542e-09
07 Aug 2023 13:50:04,-1.07464406641197e-08,-1.46875904172432e-09,1.67229825824112e-09
07 Aug 2023 13:55:04,1.42435125268593e-08,2.44721489200088e-08,-3.74804381868615e-10
07 Aug 2023 14:00:04,3.82017454128429e-08,5.11309550103956e-08,-2.19006422996199e-09
07 Aug 2023 14:05:04,2.19424102955577e-06,-2.56470457266654e-06,7.99430046091788e-08
07 Aug 2023 14:10:04,0,0,0
07 Aug 2023 14:15:04,-8.00032113909794e-08,8.77117164989932e-08,1.40504559028232e-09
07 Aug 2023 14:20:04,-4.95766343983508e-08,9.20710980702497e-08,-2.45829425033381e-09
07 Aug 2023 14:25:04,0,0,0
07 Aug 2023 14:30:04,-2.37407194036688e-06,2.3894649671001e-06,-3.62242416001743e-08
07 Aug 2023 14:35:04,-1.76984418210437e-08,-8.53095583062004e-09,2.26616706827394e-09
07 Aug 2023 14:40:04,7.43244640918329e-09,1.70916472305239e-08,1.72065686686858e-10
07 Aug 2023 14:45:04,3.18406474189244e-08,4.36672063592366e-08,-1.72215823278691e-09
07 Aug 2023 14:50:04,5.10014820333944e-08,6.68853836684379e-08,-3.01431506515966e-09
07 Aug 2023 14:55:04,4.60063438673244e-08,6.70399861134591e-08,-2.16418392084331e-09
07 Aug 2023 15:00:04,-1.91554916934861e-09,2.16799750320295e-08,2.11803859645294e-09
07 Aug 2023 15:05:04,-5.69178235332792e-08,-3.64361240697161e-08,6.53107281827035e-09
07 Aug 2023 15:10:04,-6.9535545082578e-08,-5.45133347220889e-08,7.14848109016748e-09
07 Aug 2023 15:15:04,-5.08454949836207e-08,-3.97066962602329e-08,5.23666067602146e-09
07 Aug 2023 15:20:04,-2.47920677357642e-08,-1.53488019674711e-08,2.88058199108625e-09
07 Aug 2023 15:25:04,6.02461991501569e-10,1.01109819008777e-08,7.26064304822713e-10
07 Aug 2023 15:30:04,2.5335934125075e-08,3.6551343036665e-08,-1.23695882199712e-09
07 Aug 2023 15:35:04,-1.12610497433811e-06,1.09819186447675e-06,5.06023961567894e-08
07 Aug 2023 15:40:04,0,0,0
07 Aug 2023 15:45:04,-9.42690313435172e-08,6.96268689693814e-08,4.47312207384163e-09
07 Aug 2023 15:50:04,-6.47862390894789e-08,9.30462809107318e-08,-7.30276774200875e-10
07 Aug 2023 15:55:04,0,0,0
07 Aug 2023 16:00:04,6.25656394964849e-07,-5.13150338129135e-07,-5.88059753386094e-08
07 Aug 2023 16:05:04,-3.19493881649674e-08,-2.23553439368973e-08,3.51183881639136e-09
07 Aug 2023 16:10:04,-6.24094520370981e-09,2.95351718228809e-09,1.29516216410708e-09
07 Aug 2023 16:15:04,1.85824312933192e-08,2.90002531984734e-08,-7.12378197207628e-10
07 Aug 2023 16:20:04,4.1845457643633e-08,5.52715299354691e-08,-2.43977647868012e-09
07 Aug 2023 16:25:04,5.33817583153005e-08,7.16004990066671e-08,-3.02344154557926e-09
07 Aug 2023 16:30:04,2.91956144525276e-08,5.2006181085626e-08,-5.89330041425504e-10
07 Aug 2023 16:35:04,-3.00330733787526e-08,-7.21127223800763e-09,4.44195880187043e-09
07 Aug 2023 16:40:04,-6.8307992134005e-08,-5.03237634145704e-08,7.29083862263599e-09
07 Aug 2023 16:45:04,-6.31531928468519e-08,-5.0171354806285e-08,6.43617908126432e-09
07 Aug 2023 16:50:04,-3.91569109360837e-08,-2.90267452686814e-08,4.15908581388525e-09
07 Aug 2023 16:55:04,-1.31922580350089e-08,-3.91747544829514e-09,1.88007456685685e-09
07 Aug 2023 17:00:04,1.18338637785535e-08,2.19020593029067e-08,-1.83083664273948e-10
07 Aug 2023 17:05:04,3.60298083260791e-08,4.86165179744216e-08,-2.03354926571517e-09
07 Aug 2023 17:10:04,1.76694468403122e-06,-2.07847797363759e-06,6.962216592496e-08
07 Aug 2023 17:15:04,0,0,0
07 Aug 2023 17:20:04,-8.68174836017883e-08,8.20273084994284e-08,2.61478871187387e-09
07 Aug 2023 17:25:04,-5.04932486422842e-08,9.22477909822129e-08,-2.35960407480897e-09
07 Aug 2023 17:30:04,0,0,0
07 Aug 2023 17:35:04,-2.02116651568402e-06,2.04455113005048e-06,-3.56833185869139e-08
07 Aug 2023 17:40:04,-2.01707605846997e-08,-1.09620623134574e-08,2.47958081477121e-09
07 Aug 2023 17:45:04,5.02303623332033e-09,1.4567996028956e-08,3.67302692253306e-10
07 Aug 2023 17:50:04,2.95440035531321e-08,4.10832132500089e-08,-1.55081822137408e-09
07 Aug 2023 17:55:04,4.97247385231393e-08,6.51392259564062e-08,-2.94467341636502e-09
07 Aug 2023 18:00:04,4.82334735841549e-08,6.87963248581714e-08,-2.39229505130893e-09
07 Aug 2023 18:05:04,4.07478645793337e-09,2.76587593006851e-08,1.60829720165587e-09
07 Aug 2023 18:10:04,-5.30645711207163e-08,-3.20965590038073e-08,6.24418542352834e-09
07 Aug 2023 18:15:04,-7.01262395366744e-08,-5.46131165756224e-08,7.239542473141e-09
07 Aug 2023 18:20:04,-5.3168196207482e-08,-4.17524705343905e-08,5.45712823240313e-09
07 Aug 2023 18:25:04,-2.73168134757513e-08,-1.77885863264458e-08,3.10232127097335e-09
07 Aug 2023 18:30:04,-1.807753043524e-09,7.6283799070412e-09,9.25085810515997e-10
07 Aug 2023 18:35:04,2.29752253031299e-08,3.39526558756772e-08,-1.05578412618065e-09
07 Aug 2023 18:40:04,-1.24345759211204e-06,1.22824574079925e-06,5.05430945022046e-08
07 Aug 2023 18:45:04,0,0,0
07 Aug 2023 18:50:04,-9.49621567254447e-08,6.71319630346388e-08,4.76887021801113e-09
07 Aug 2023 18:55:04,-7.50522726928183e-08,9.02278498796283e-08,6.55691477161316e-10
07 Aug 2023 19:00:04,0,0,0
07 Aug 2023 19:05:04,7.90361134577287e-07,-6.64414959650767e-07,-6.32323533510875e-08
07 Aug 2023 19:10:04,-3.44799676282751e-08,-2.47536165756703e-08,3.73769838248597e-09
07 Aug 2023 19:15:04,-8.6677570614781e-09,4.96521621926352e-10,1.4988210903685e-09
07 Aug 2023 19:20:04,1.61991951911786e-08,2.64280462975211e-08,-5.25544567618084e-10
07 Aug 2023 19:25:04,3.98052615878074e-08,5.28570211106248e-08,-2.29741520016205e-09
07 Aug 2023 19:30:04,5.3356379585548e-08,7.10610804640468e-08,-3.06379116713408e-09
07 Aug 2023 19:35:04,3.3556517562324e-08,5.60478528653945e-08,-9.86149506414231e-10
07 Aug 2023 19:40:04,-2.42026084403447e-08,-1.12044579426978e-09,3.96834712014934e-09
07 Aug 2023 19:45:04,-6.66887193078899e-08,-4.81610669460141e-08,7.19849305123509e-09
