Time (UTCG),AngMomentum in X (kg*m^2/sec),AngMomentum in Y (kg*m^2/sec),AngMomentum in Z (kg*m^2/sec)
08 Aug 2023 08:45:04,0.0055715139702769,0.0072778158437089,0.000647056465080103
08 Aug 2023 08:50:04,0.00720751252710292,0.00557155976132491,0.000627788133492102
08 Aug 2023 08:55:04,0,0,0
08 Aug 2023 09:00:04,0.0205259472466411,-0.00854236541463501,-0.000246996498639598
08 Aug 2023 09:05:04,0.00556881375714889,0.00568558328733266,-0.000463981075749365
08 Aug 2023 09:10:04,0.00529528575002134,0.00540575364784405,-0.000441215431039874
08 Aug 2023 09:15:04,0.00547290234458777,0.00558642828005985,-0.000455998279067589
08 Aug 2023 09:20:04,0.00610104500497705,0.00622696553435151,-0.000508275884708012
08 Aug 2023 09:25:04,0.00710661596518864,0.00725275055777607,-0.000591954139368557
08 Aug 2023 09:30:04,0.00810553138251504,0.00827178977337948,-0.000675043398292148
08 Aug 2023 09:35:04,0.00836665818294434,0.00853792457031126,-0.000696670595505912
08 Aug 2023 09:40:04,0.00764181192854443,0.00779794442880824,-0.000636199758000033
08 Aug 2023 09:45:04,0.0065632413345266,0.00669719246403505,-0.000546304134657508
08 Aug 2023 09:50:04,0.00572952304931066,0.00584656721532154,-0.000476831218905631
08 Aug 2023 09:55:04,0.00533138013521853,0.00544068658181602,-0.000443656726378257
08 Aug 2023 10:00:04,0.00538536890333828,0.00549643554423655,-0.000448155132122532
08 Aug 2023 10:05:04,0.00583345506842534,0.00607403912660549,-0.000488801078025492
08 Aug 2023 10:10:04,0.00272390176127077,0.00911240644514127,0.000282318684284753
08 Aug 2023 10:15:04,0,0,0
08 Aug 2023 10:20:04,0.00631416721061397,0.00658145797214909,0.000665242981568807
08 Aug 2023 10:25:04,0.00776283305233674,0.00481705744852189,0.000560080583516223
08 Aug 2023 10:30:04,0,0,0
08 Aug 2023 10:35:04,0.00591300363680224,0.00603725356412542,-0.000492626952563188
08 Aug 2023 10:40:04,0.00539007098557544,0.00550284890728262,-0.000449104525810971
08 Aug 2023 10:45:04,0.00531971370453522,0.00543040518539886,-0.00044324852848061
08 Aug 2023 10:50:04,0.00570064130300057,0.00581860571240498,-0.000474952397956581
08 Aug 2023 10:55:04,0.00651885094669212,0.00665314615187528,-0.000543045423786122
08 Aug 2023 11:00:04,0.00759652078468204,0.00775253490573124,-0.000632712047211412
08 Aug 2023 11:05:04,0.00835235186067935,0.00852351229247307,-0.000695545200974136
08 Aug 2023 11:10:04,0.00813576444198486,0.00830215628772125,-0.000677390597602429
08 Aug 2023 11:15:04,0.00715416430974721,0.00730023776648665,-0.000595551492596588
08 Aug 2023 11:20:04,0.00613994311020641,0.00626526942503867,-0.000511029988497178
08 Aug 2023 11:25:04,0.00549509797039777,0.00560750016622255,-0.000457297965973689
08 Aug 2023 11:30:04,0.00530060536321708,0.00540954803327726,-0.000441092475615671
08 Aug 2023 11:35:04,0.00555770720705601,0.00567267864146884,-0.000462514806158385
08 Aug 2023 11:40:04,-0.00817393865832655,0.020677356849173,-9.4945189937652e-05
08 Aug 2023 11:45:04,0,0,0
08 Aug 2023 11:50:04,0.00533164024495248,0.00748049675153198,0.000632400019467758
08 Aug 2023 11:55:04,0.00700570131981673,0.0058194873655291,0.000642420592863125
08 Aug 2023 12:00:04,0,0,0
08 Aug 2023 12:05:04,0.0211350622519894,-0.00897318454429611,-0.000247437321216324
08 Aug 2023 12:10:04,0.00562229888893723,0.00574023846791417,-0.000468432710142061
08 Aug 2023 12:15:04,0.00530301700718484,0.00541370535775948,-0.000441858982185305
08 Aug 2023 12:20:04,0.00543502063244249,0.00554782064663807,-0.000452845381945082
08 Aug 2023 12:25:04,0.00601809254274756,0.00614235354269219,-0.00050137216214995
08 Aug 2023 12:30:04,0.00699423257814241,0.00713809716379325,-0.000582602803809651
08 Aug 2023 12:35:04,0.00802320855837859,0.00818781125376765,-0.000668198671518316
08 Aug 2023 12:40:04,0.00838682301341869,0.0085585346529913,-0.000698361564353965
08 Aug 2023 12:45:04,0.00774360328164849,0.00790184273588965,-0.000644685915627626
08 Aug 2023 12:50:04,0.00666797924244719,0.00680407453885359,-0.000555032217822254
08 Aug 2023 12:55:04,0.00579621656567654,0.0059146006026832,-0.000482388233233878
08 Aug 2023 13:00:04,0.00535226110687427,0.00546194550793067,-0.000445396443728609
08 Aug 2023 13:05:04,0.00536027007102366,0.00547074908703951,-0.000446063851376711
08 Aug 2023 13:10:04,0.00582135036551947,0.00594214534773113,-0.000484482741707676
08 Aug 2023 13:15:04,0.00123461652506075,0.0107052627439296,0.000220265575556843
08 Aug 2023 13:20:04,0,0,0
08 Aug 2023 13:25:04,0.00618795406961843,0.00670822396633633,0.00066414109251576
08 Aug 2023 13:30:04,0.00766947526938951,0.00495210015940436,0.000573570910095145
08 Aug 2023 13:35:04,0,0,0
08 Aug 2023 13:40:04,0.00776093019636337,0.00428578540862076,-0.000468727093813744
08 Aug 2023 13:45:04,0.00542343641038861,0.00553696756806395,-0.00045188166321774
08 Aug 2023 13:50:04,0.0053070228891752,0.00541751145412034,-0.000442192304455568
08 Aug 2023 13:55:04,0.00564146954619911,0.0057582673730349,-0.0004700276091416
08 Aug 2023 14:00:04,0.00641757382754606,0.00654983043817549,-0.000534617134569671
08 Aug 2023 14:05:04,0.00748611569641643,0.00763989894381181,-0.000623527139285771
